
(1)   | 2090.750 (20:29:29.712) 2894  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 2091.250 (20:29:30.212) 2896  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 2091.850 (20:29:30.812) 2898  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 2152.300 (20:30:31.262) 2979  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 2152.800 (20:30:31.762) 2982  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{5}   | 2152.900 (20:30:31.862) 2983  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 2153.350 (20:30:32.312) 2985  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 2153.900 (20:30:32.862) 2987  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 2214.402 (20:31:33.364) 3071  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 2214.950 (20:31:33.912) 3075  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 2215.400 (20:31:34.362) 3077  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 2215.950 (20:31:34.912) 3079  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 2276.350 (20:32:35.312) 3166  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(8)   | 2276.850 (20:32:35.812) 3171  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(9)   | 2277.400 (20:32:36.362) 3174  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(10)  | 2277.950 (20:32:36.912) 3176  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(11)  | 2338.500 (20:33:37.462) 3260  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{11}  | 2338.500 (20:33:37.462) 3261  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 2338.900 (20:33:37.862) 3264  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 2339.450 (20:33:38.412) 3266  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 2340.000 (20:33:38.962) 3268  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 2400.500 (20:34:39.462) 3345  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 2400.950 (20:34:39.912) 3348  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 2401.500 (20:34:40.462) 3350  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 2402.050 (20:34:41.012) 3353  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
